P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(-1, 0)","(-9.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(4, 54)","(-58, 34)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-351, 113)","(-350, 113)",0,4,200,10259
"(-2, 0)","(-10.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(3, 54)","(20, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-352, 113)","(-350, 113)",0,4,200,10296
"(-3, 0)","(-11.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(2, 54)","(19, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-353, 113)","(-350, 113)",0,4,200,10333
"(-4, 0)","(-12.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(1, 54)","(18, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-354, 113)","(-350, 113)",0,4,200,10370
"(-5, 0)","(-13.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0, 54)","(17, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-355, 113)","(-350, 113)",0,4,200,10407
"(-6, 0)","(-14.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(16, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-356, 113)","(-350, 113)",0,4,200,10444
"(-7, 0)","(-15.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(15, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-357, 113)","(-350, 113)",0,4,200,10481
"(-8, 0)","(-16.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(14, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-358, 113)","(-350, 113)",0,4,200,10519
"(-9, 0)","(-17.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(13, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-359, 113)","(-350, 113)",0,4,200,10556
"(-10, 0)","(-18.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(12, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-360, 113)","(-350, 113)",0,4,200,10593
"(-11, 0)","(-19.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(11, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-361, 113)","(-350, 113)",0,4,200,10630
"(-12, 0)","(-20.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(10, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-362, 113)","(-350, 113)",0,4,200,10667
"(-13, 0)","(-21.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(9, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-363, 113)","(-350, 113)",0,4,200,10704
"(-14, 0)","(-22.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(8, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-364, 113)","(-350, 113)",0,4,200,10741
"(-15, 0)","(-23.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(7, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-365, 113)","(-350, 113)",0,4,200,10778
"(-16, 0)","(-24.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(6, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-366, 113)","(-350, 113)",0,4,200,10815
"(-17, 0)","(-25.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(5, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-367, 113)","(-350, 113)",0,4,200,10852
"(-18, 0)","(-26.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(0.0, 54.0)","(4, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-368, 113)","(-350, 113)",0,4,200,10889
"(-19, 0)","(0.0, -27.0)","(-27.0, 0.0)","(0.0, -42.0)","(0.0, 54.0)","(3, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-369, 113)","(-350, 113)",0,4,200,10926
"(-20, 0)","(0.0, -27.0)","(-28.0, 0.0)","(0.0, -42.0)","(0.0, 54.0)","(2, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-370, 113)","(-350, 113)",0,4,200,10963
"(-21, 0)","(0.0, -27.0)","(-29.0, 0.0)","(0.0, -42.0)","(0.0, 54.0)","(1, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-371, 113)","(-350, 113)",0,4,200,11000
"(-22, 0)","(0.0, -27.0)","(-30.0, 0.0)","(0.0, -42.0)","(0.0, 54.0)","(0, -65)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-372, 113)","(-350, 113)",0,4,200,11037
"(-23, 0)","(0.0, -27.0)","(-31.0, 0.0)","(0.0, -42.0)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-373, 113)","(-350, 113)",0,4,200,11074
"(-24, 0)","(0.0, -27.0)","(-32.0, 0.0)","(0, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-374, 113)","(-350, 113)",0,4,200,11111
"(-25, 0)","(0.0, -27.0)","(-33.0, 0.0)","(-1, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-375, 113)","(-350, 113)",0,4,200,11148
"(-26, 0)","(0.0, -27.0)","(-34.0, 0.0)","(-2, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-376, 113)","(-350, 113)",0,4,200,11185
"(-27, 0)","(0.0, -27.0)","(-35.0, 0.0)","(-3, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-377, 113)","(-350, 113)",0,4,200,11222
"(-28, 0)","(0.0, -27.0)","(-36.0, 0.0)","(-4, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-378, 113)","(-350, 113)",0,4,200,11259
"(-29, 0)","(0.0, -27.0)","(-37.0, 0.0)","(-5, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-379, 113)","(-350, 113)",0,4,200,11296
"(-30, 0)","(0.0, -27.0)","(-38.0, 0.0)","(-6, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-380, 113)","(-350, 113)",0,4,200,11333
"(-31, 0)","(0.0, -27.0)","(-39.0, 0.0)","(-7, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-381, 113)","(-350, 113)",0,4,200,11370
"(-32, 0)","(0.0, -27.0)","(-40.0, 0.0)","(-8, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-382, 113)","(-350, 113)",0,4,200,11407
"(-33, 0)","(0.0, -27.0)","(-41.0, 0.0)","(-9, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-383, 113)","(-350, 113)",0,4,200,11444
"(-34, 0)","(0.0, -27.0)","(-42.0, 0.0)","(-10, -42)","(0.0, 54.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-384, 113)","(-350, 113)",0,4,200,11481
"(-35, 0)","(0.0, -27.0)","(-43.0, 0.0)","(-11, -42)","(0, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-385, 113)","(-350, 113)",0,4,200,11519
"(-36, 0)","(0.0, -27.0)","(-12, -42)","(-44.0, 0.0)","(-1, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-386, 113)","(-350, 113)",0,4,200,11556
"(-37, 0)","(0.0, -27.0)","(-13, -42)","(-45.0, 0.0)","(-2, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-387, 113)","(-350, 113)",0,4,200,11593
"(-38, 0)","(0.0, -27.0)","(-14, -42)","(-46.0, 0.0)","(-3, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-388, 113)","(-350, 113)",0,4,200,11630
"(-39, 0)","(0.0, -27.0)","(-15, -42)","(-47.0, 0.0)","(-4, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-389, 113)","(-350, 113)",0,4,200,11667
"(-40, 0)","(0.0, -27.0)","(-16, -42)","(-48.0, 0.0)","(-5, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-390, 113)","(-350, 113)",0,4,200,11704
"(-41, 0)","(0.0, -27.0)","(-17, -42)","(-49.0, 0.0)","(-6, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-391, 113)","(-350, 113)",0,4,200,11741
"(-42, 0)","(0.0, -27.0)","(-18, -42)","(-50.0, 0.0)","(-7, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-392, 113)","(-350, 113)",0,4,200,11778
"(-43, 0)","(0.0, -27.0)","(-19, -42)","(-51.0, 0.0)","(-8, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-393, 113)","(-350, 113)",0,4,200,11815
"(-44, 0)","(0.0, -27.0)","(-20, -42)","(-52.0, 0.0)","(-9, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-394, 113)","(-350, 113)",0,4,200,11852
"(-45, 0)","(0.0, -27.0)","(-21, -42)","(-53.0, 0.0)","(-10, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-395, 113)","(-350, 113)",0,4,200,11889
"(-46, 0)","(0.0, -27.0)","(-22, -42)","(-54.0, 0.0)","(-11, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-396, 113)","(-350, 113)",0,4,200,11926
"(-47, 0)","(0.0, -27.0)","(-23, -42)","(-55.0, 0.0)","(-12, 54)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-397, 113)","(-350, 113)",0,4,200,11963
"(-48, 0)","(0.0, -27.0)","(-24, -42)","(-13, 54)","(-56.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-398, 113)","(-350, 113)",0,4,200,12000
"(-49, 0)","(0.0, -27.0)","(-25, -42)","(-14, 54)","(-57.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-399, 113)","(-350, 113)",0,4,200,12036
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12071
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12107
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12143
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12179
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12214
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12250
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12286
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12321
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12357
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12393
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12429
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12464
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12500
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12536
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12571
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12607
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12643
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12679
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12714
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12750
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12786
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",0,4,200,12821
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,12857
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,12893
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,12929
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,12964
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13000
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13036
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13071
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13107
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13143
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13179
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13214
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13250
"(-50, 0)","(0.0, -27.0)","(-26, -42)","(-15, 54)","(-58.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-400, 113)","(-350, 113)",3,4,200,13286
"(-49, 0)","(0.0, -27.0)","(-25, -42)","(-14, 54)","(-57.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-399, 113)","(-350, 113)",1,4,200,13500
"(-48, 0)","(0.0, -27.0)","(-24, -42)","(-13, 54)","(-56.0, 0.0)","(0.0, -65.0)","(-8.0, 0.0)","(0.0, -27.0)","(0.0, -42.0)","(5, 54)","(-57, 34)","(-398, 113)","(-350, 113)",1,4,200,13536
